row_id,case_id,function_name,severity_class,ulp_distance,local_digest,excel_digest
G3-01-distributions,dist-betainv,BETAINV,numeric_drift_gt1ulp,2,number:0x3fdc72b0230163c0,number:0x3fdc72b0230163be
G3-01-distributions,dist-chiinv,CHIINV,numeric_drift_gt1ulp,3,number:0x40324e97817d67b0,number:0x40324e97817d67ad
G3-02-gamma-reflection,gamma-neg-near-int,GAMMA,numeric_drift_gt1ulp,182,number:0x40c04674926bcfce,number:0x40c04674926bd084
G3-02-gamma-reflection,gamma-neg-half,GAMMA,numeric_drift_gt1ulp,9,number:0x4002e7fb0bcdf4e8,number:0x4002e7fb0bcdf4f1
G3-03-linear-regression,forecast-linear,FORECAST,numeric_drift_gt1ulp,5,number:0x4023fffffffffffb,number:0x4024000000000000
G3-03-linear-regression,forecast-perturbed,FORECAST.LINEAR,numeric_drift_gt1ulp,2,number:0x4025f33333333331,number:0x4025f33333333333
G3-04-growth,growth-catalog,GROWTH,numeric_drift_gt1ulp,11,number:0x401c48c6001f0ab5,number:0x401c48c6001f0ac0
G3-04-growth,growth-geometric,GROWTH,numeric_drift_gt1ulp,13,number:0x403ffffffffffff1,number:0x403ffffffffffffe
G3-05-chisq-test,chisq-catalog,CHISQ.TEST,numeric_drift_gt1ulp,8,number:0x3fe83d27824a69ce,number:0x3fe83d27824a69c6
G3-05-chisq-test,chitest-alias,CHITEST,numeric_drift_gt1ulp,7,number:0x3f9147e13466c124,number:0x3f9147e13466c11d
G3-06-f-test,ftest-balanced,F.TEST,numeric_drift_1ulp,1,number:0x3fca9fbe76c8b43c,number:0x3fca9fbe76c8b43b
G3-06-f-test,ftest-alias,FTEST,numeric_drift_1ulp,1,number:0x3fe812f684bda131,number:0x3fe812f684bda130
G3-07-gauss-phi,gauss-one,GAUSS,numeric_drift_gt1ulp,2,number:0x3fd5d897a241a6fa,number:0x3fd5d897a241a6fc
G3-07-gauss-phi,phi-zero,PHI,numeric_drift_1ulp,1,number:0x3fd9884533d43650,number:0x3fd9884533d43651
G4-01-trig-reduction,trig-tan-large,TAN,numeric_drift_gt1ulp,719,number:0x4023ebd341476bc0,number:0x4023ebd3414768f1
G4-01-trig-reduction,trig-sin-limit-minus,SIN,numeric_drift_gt1ulp,5664,number:0xbfee977f5248d0df,number:0xbfee977f5248babf
G4-02-atanh,atanh-point-one,ATANH,numeric_drift_gt1ulp,2,number:0x3fb9af93cd234413,number:0x3fb9af93cd234415
G4-02-atanh,atanh-point-two,ATANH,numeric_drift_gt1ulp,3,number:0x3fc9f323ecbf984c,number:0x3fc9f323ecbf9849
G4-03-acoth,acoth-five,ACOTH,numeric_drift_1ulp,1,number:0x3fc9f323ecbf984c,number:0x3fc9f323ecbf984d
G4-03-acoth,acoth-ten,ACOTH,numeric_drift_1ulp,1,number:0x3fb9af93cd234412,number:0x3fb9af93cd234413
G4-04-combinatorial,combin-integer-imprecision,COMBIN,numeric_drift_1ulp,1,number:0x4131750200000000,number:0x4131750200000001
G4-04-combinatorial,permut-large,PERMUT,numeric_drift_1ulp,1,number:0x470760c0a63908ab,number:0x470760c0a63908aa
G4-05-convert,convert-meter-foot,CONVERT,numeric_drift_1ulp,1,number:0x400a3f28fca3f28f,number:0x400a3f28fca3f290
G4-05-convert,convert-inch-meter,CONVERT,match,,number:0x3f9a027525460aa6,number:0x3f9a027525460aa6
G5-01-minverse,minverse-2x2-r1c1,MINVERSE,numeric_drift_1ulp,1,number:0xbffffffffffffffe,number:0xbfffffffffffffff
G5-01-minverse,minverse-2x2-r2c2,MINVERSE,numeric_drift_1ulp,1,number:0xbfdfffffffffffff,number:0xbfdffffffffffffe
G6-01-annuity,pmt-mortgage,PMT,match,,number:0xc090c692af15f63a,number:0xc090c692af15f63a
G6-01-annuity,ppmt-first,PPMT,numeric_drift_1ulp,1,number:0xc06e09eace050724,number:0xc06e09eace050723
G6-02-accrint,accrint-repaired-base,ACCRINT,match,,number:0x4039000000000000,number:0x4039000000000000
G6-02-accrint,accrint-us30360-triple-edge,ACCRINT,numeric_drift_1ulp,1,number:0x4047438e38e38e39,number:0x4047438e38e38e38
G6-03-yield,yield-catalog,YIELD,numeric_drift_gt1ulp,19,number:0x3fb61465bd6a9970,number:0x3fb61465bd6a9983
G6-03-yield,yield-par,YIELD,numeric_drift_gt1ulp,6,number:0x3fa99999999999a0,number:0x3fa999999999999a
G6-04-oddfyield,oddfyield-catalog,ODDFYIELD,numeric_drift_gt1ulp,311909,number:0x3fb5e205751e2331,number:0x3fb5e2057522e596
G6-04-oddfyield,oddfyield-par,ODDFYIELD,numeric_drift_gt1ulp,307444,number:0x3fa9621e27bc4000,number:0x3fa9621e27c0f0f4
G6-05-rate,rate-mortgage,RATE,numeric_drift_gt1ulp,586,number:0x3f71110b20485999,number:0x3f71110b2048574f
G6-05-rate,rate-unit-root,RATE,numeric_drift_gt1ulp,72,number:0x3fb999999999999a,number:0x3fb9999999999952
G6-06-irr,irr-three,IRR,numeric_drift_gt1ulp,80,number:0x3fb05e7077e28da0,number:0x3fb05e7077e28d50
G6-06-irr,irr-mixed-five,IRR,numeric_drift_gt1ulp,14096,number:0x3fc06abbf3eb1140,number:0x3fc06abbf3eada30
G6-07-cumprinc,cumprinc-schedule,CUMPRINC,match,,number:0xc08f400000000001,number:0xc08f400000000001
G6-07-cumprinc,cumprinc-half,CUMPRINC,numeric_drift_1ulp,1,number:0xc0768ceb86d1d5a1,number:0xc0768ceb86d1d5a0
G6-08-nper,nper-0000,NPER,numeric_drift_1ulp,1,number:0x405a1d41fa9d1c49,number:0x405a1d41fa9d1c4a
G6-08-nper,nper-threeway-clean,NPER,match,,number:0x402400000000000b,number:0x402400000000000b
G6-09-yieldmat,yieldmat-catalog,YIELDMAT,numeric_drift_1ulp,1,number:0x3faf3b645a1cabff,number:0x3faf3b645a1cabfe
G6-09-yieldmat,yieldmat-basis-zero,YIELDMAT,numeric_drift_gt1ulp,2,number:0x3faf37e9d4b23784,number:0x3faf37e9d4b23782
G6-10-tbillyield,tbillyield-current-clean,TBILLYIELD,match,,number:0x3fb7671a221061b9,number:0x3fb7671a221061b9
G6-10-tbillyield,tbillyield-neighbor,TBILLYIELD,match,,number:0x3fb7c9511e6cfa68,number:0x3fb7c9511e6cfa68
G6-11-xnpv,xnpv-catalog,XNPV,numeric_drift_gt1ulp,16,number:0x404010550d1e8470,number:0x404010550d1e8460
G6-11-xnpv,xnpv-two-flow,XNPV,match,,number:0x4047bd5086d03220,number:0x4047bd5086d03220
