group,variant,bits_hex
acoth-5,ACOTH,0x3fc9f323ecbf984d
acoth-5,ATANH-recip,0x3fc9f323ecbf9849
acoth-5,half-log-ratio,0x3fc9f323ecbf984c
acoth-5,half-log-difference,0x3fc9f323ecbf984c
acoth-10,ACOTH,0x3fb9af93cd234413
acoth-10,ATANH-recip,0x3fb9af93cd234415
acoth-10,half-log-ratio,0x3fb9af93cd234415
acoth-10,half-log-difference,0x3fb9af93cd234410
growth-geometric,GROWTH,0x403ffffffffffffe
growth-geometric,log-domain-regression,0x403ffffffffffffc
growth-geometric,exp-ln-direct,0x4040000000000000
growth-geometric,power-direct,0x4040000000000000
forecast-linear,FORECAST,0x4024000000000000
forecast-linear,centered-slope,0x4024000000000000
forecast-linear,intercept-plus-slope,0x4024000000000000
xnpv-fractional,XNPV,0x404010550d1e8460
xnpv-fractional,power-forward,0x404010550d1e8460
xnpv-fractional,power-reverse-group,0x404010550d1e8460
xnpv-fractional,exp-ln-forward,0x404010550d1e8460
atanh-0.1,ATANH,0x3fb9af93cd234415
atanh-0.1,half-log-ratio,0x3fb9af93cd234415
atanh-0.1,half-log-difference,0x3fb9af93cd234414
atanh-0.1,half-log1p-shape,0x3fb9af93cd234415
atanh-0.2,ATANH,0x3fc9f323ecbf9849
atanh-0.2,half-log-ratio,0x3fc9f323ecbf9849
atanh-0.2,half-log-difference,0x3fc9f323ecbf984a
atanh-0.2,half-log1p-shape,0x3fc9f323ecbf984c
