"case_id","row","fn","ox","fs","excel","ulp_ox_excel","ulp_fs_excel","class","residual"
"pmt.witness","PMT/PPMT","PMT","0xc090c692af15f632","0xc090c692af15f641","0xc090c692af15f63a","8","7","all_diverge","PMT(0.05/12,360,200000) ~8 ULP"
"ppmt.witness","PMT/PPMT","PPMT","0xc06e09eace0506e4","0xc06e09eace05075c","0xc06e09eace050723","63","57","all_diverge","PPMT(0.05/12,1,360,200000) ~63 ULP"
"ipmt.adjacent","PMT/PPMT","IPMT","0xc08a0aaaaaaaaaab","0xc08a0aaaaaaaaaab","0xc08a0aaaaaaaaaab","0","0","all_bit_exact","IPMT adjacent to PPMT publication path"
"accrint.witness.b0","ACCRINT","ACCRINT","0x4039000000000000","0x4039000000000000","0x4039000000000000","0","0","all_bit_exact","30/360 witness (now bit-exact 25)"
"accrint.actact.multi","ACCRINT","ACCRINT","0x4052c00000000000","0x4052c00000000000","0x4052c00000000000","0","0","all_bit_exact","act/act (basis 1) multi-coupon span crossing leap Feb ~0.07%"
"yield.witness","YIELD","YIELD","0x3fb61465bd6a9970","0x3fb61465bd6a9970","0x3fb61465bd6a9983","19","19","both_off_ox_eq_fs","~19 ULP (bisection vs Excel solver)"
"oddfprice.witness","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058a0d3018deeab","0x4058a0d3018deeab","0x4058a0d3018deeab","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.mid2","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058ae160204365c","0x4058ae160204365c","0x4058ae160204365c","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.in1","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x40588f7ced3ee962","0x40588f7ced3ee962","0x40588f7ced3ee962","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.b1","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058ae268c1f8460","0x4058ae268c1f8460","0x4058ae268c1f8460","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.b2","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058aa20ca11d567","0x4058aa20ca11d567","0x4058aa20ca11d567","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.b3","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058acae8dcb3d4c","0x4058acae8dcb3d4c","0x4058acae8dcb3d4c","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.b4","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058ae160204365c","0x4058ae160204365c","0x4058ae160204365c","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.nq4","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x405893f278899776","0x405893f278899776","0x405893f278899776","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.nq3","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x405870a2230d82c0","0x405870a2230d82c0","0x405870a2230d82c0","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfprice.short","ODDFPRICE/ODDFYIELD","ODDFPRICE","0x4058b3d18cf650b9","0x4058b3d18cf650b9","0x4058b3d18cf650b9","0","0","all_bit_exact","30/360 ~1 ULP; actual bases not yet bit-exact"
"oddfyield.witness","ODDFPRICE/ODDFYIELD","ODDFYIELD","0x3fb5e205751e2331","0x3fb5e205751e226d","0x3fb5e2057522e596","311909","312105","all_diverge","inverts ODDFPRICE"
"oddfyield.mid2","ODDFPRICE/ODDFYIELD","ODDFYIELD","0x3fb756da77f57ccf","0x3fb756da77f57cc5","0x3fb756da77f670c3","62452","62462","all_diverge","inverts ODDFPRICE"
"oddfyield.nq4","ODDFPRICE/ODDFYIELD","ODDFYIELD","0x3fb5398bfc0ef333","0x3fb5398bfc0e2c2b","0x3fb5398bfc4868cb","3765656","3816608","all_diverge","inverts ODDFPRICE"
"rate.mortgage","RATE","RATE","0x3f71110b20485999","0x3f71110b20485bfa","0x3f71110b2048574f","586","1195","all_diverge","~586 ULP (0.0041666445363460975 vs 0.004166644536345589)"
"irr.unit","IRR","IRR","0x3feffffffffe3fe0","0x3fefffffffffffff","0x3ff0000000000000","114720","1","all_diverge","IRR({1,-2})=0.99999... vs 1.0 (~8000 ULP)"
"irr.three","IRR","IRR","0x3fb05e7077e28da0","0x3fb05e7077e28d9a","0x3fb05e7077e28d50","80","74","all_diverge","IRR({-100,50,60}) ~80 ULP"
"cumprinc.sched","CUMPRINC","CUMPRINC","0xc08f400000000007","0xc08f3ffffffffff6","0xc08f400000000001","6","11","all_diverge","CUMPRINC(0.1,12,1000,1,12,0) ~6 ULP"
"yielddisc.witness","YIELDDISC","YIELDDISC","0x3fa1f7047dc11f70","0x3fa1f7047dc11f70","0x3fa1f7047dc11f70","0","0","all_bit_exact","YIELDDISC(44013,44562,95,100,0) ~5 ULP"
"nper.witness","NPER","NPER","0x402400000000000b","0x402400000000000b","0x402400000000000b","0","0","all_bit_exact","~1 ULP"
"yieldmat.witness","YIELDMAT","YIELDMAT","0x3faf3b645a1cabff","0x3faf3b645a1cabff","0x3faf3b645a1cabfe","1","1","both_off_ox_eq_fs","~1 ULP"
"tbillyield.witness","TBILLYIELD","TBILLYIELD","0x3fb7671a221061b9","0x3fb7671a221061b9","0x3fb7671a221061b9","0","0","all_bit_exact","signed off 2026-07-10 after association repair; expanded matrix 2156/2156"
