"function_name","tier","tier_label","reason_codes","determinism_class","volatility_class","host_interaction_class","coercion_policy_class","error_policy_class","classification_confidence","notes"
"ADDRESS","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"AREAS","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"COLUMN","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"COLUMNS","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"DOLLAR","3","medium_interest","format_visible_behavior","deterministic","nonvolatile","none","permissive_scalar","strict_propagate","low","initial heuristic mapping; requires interactive review"
"FIXED","3","medium_interest","format_visible_behavior","deterministic","nonvolatile","none","permissive_scalar","strict_propagate","low","initial heuristic mapping; requires interactive review"
"FORMULATEXT","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"INDEX","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"N","3","medium_interest","type_or_coercion_sensitive","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"NOW","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","time_dependent","volatile_full","application_state","permissive_scalar","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"RAND","3","medium_interest","volatile_or_recalc_sensitive","pseudo_random","volatile_full","none","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"RANDBETWEEN","3","medium_interest","volatile_or_recalc_sensitive","pseudo_random","volatile_full","none","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"ROW","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"ROWS","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"SHEET","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"SHEETS","3","medium_interest","grid_reference_sensitive","deterministic","nonvolatile","workbook_state","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"SUMIF","3","medium_interest","volatile_or_recalc_sensitive","deterministic","volatile_contextual","none","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"T","3","medium_interest","type_or_coercion_sensitive","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"TEXT","3","medium_interest","format_visible_behavior","deterministic","nonvolatile","none","permissive_scalar","strict_propagate","low","initial heuristic mapping; requires interactive review"
"TODAY","3","medium_interest","volatile_or_recalc_sensitive|format_visible_behavior","time_dependent","volatile_full","application_state","permissive_scalar","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"TYPE","3","medium_interest","type_or_coercion_sensitive","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"VALUE","3","medium_interest","type_or_coercion_sensitive","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"VALUETOTEXT","3","medium_interest","type_or_coercion_sensitive|format_visible_behavior","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"BYCOL","4","high_interest","functional_lambda_family","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"BYROW","4","high_interest","functional_lambda_family","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"CHOOSECOLS","4","high_interest","dynamic_array_or_spill","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"CHOOSEROWS","4","high_interest","dynamic_array_or_spill","deterministic","nonvolatile","none","mixed","strict_propagate","low","initial heuristic mapping; requires interactive review"
"CUBEKPIMEMBER","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"CUBEMEMBER","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"CUBEMEMBERPROPERTY","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"CUBERANKEDMEMBER","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"CUBESET","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
"CUBESETCOUNT","4","high_interest","cube_context","external_event_dependent","nonvolatile","external_provider","mixed","strict_propagate","medium","initial heuristic mapping; requires interactive review"
