"scenario_id","lane","status","setup_values","native_formula","bridge_formula","expected_relation","known_divergence_class","notes"
"W10XLL-001","W10-XLL","ready","","XMATCH(2,{1,2,3})","ox_XMATCH(2,{1,2,3})","equal","none","Exact XMATCH parity on array constants."
"W10XLL-002","W10-XLL","ready","","XMATCH(""a~*"",{""abc"",""a*""},2)","ox_XMATCH(""a~*"",{""abc"",""a*""},2)","equal","none","Wildcard escape parity for XMATCH."
"W10XLL-003","W10-XLL","ready","","XMATCH(2,{3,1,4,2},0,2)","ox_XMATCH(2,{3,1,4,2},0,2)","equal","none","Binary unsorted exact empirical parity for XMATCH."
"W10XLL-004","W10-XLL","ready","","XMATCH(2.5,{3,1,4,2},1,2)","ox_XMATCH(2.5,{3,1,4,2},1,2)","equal","none","Binary unsorted next-larger empirical parity for XMATCH."
"W10XLL-005","W10-XLL","ready","","MATCH(2.5,{1,2,3,4})","ox_MATCH(2.5,{1,2,3,4})","equal","none","Default MATCH approximate parity on ascending data."
"W10XLL-006","W10-XLL","ready","","MATCH(2,{1,2,2,2,3},1)","ox_MATCH(2,{1,2,2,2,3},1)","equal","none","MATCH ascending duplicate-selection parity."
"W10XLL-007","W10-XLL","ready","","MATCH(""a~*"",{""abc"",""a*""},0)","ox_MATCH(""a~*"",{""abc"",""a*""},0)","equal","none","MATCH wildcard escape parity."
"W10XLL-007A","W10-XLL","ready","","MATCH(2.5,{1,3,2,4},1)","ox_MATCH(2.5,{1,3,2,4},1)","equal","none","MATCH ascending unsorted empirical parity."
"W10XLL-007B","W10-XLL","ready","","MATCH(2.5,{3,1,4,2},-1)","ox_MATCH(2.5,{3,1,4,2},-1)","equal","none","MATCH descending unsorted empirical parity."
"W10XLL-008","W10-XLL","ready","","XLOOKUP(2,{1,2,3},{10,20,30})","ox_XLOOKUP(2,{1,2,3},{10,20,30})","equal","none","Exact XLOOKUP parity on array constants."
"W10XLL-009","W10-XLL","ready","","XLOOKUP(2,{1,2,3},{10,20,30},""nf"",0)","ox_XLOOKUP(2,{1,2,3},{10,20,30},""nf"",0)","equal","none","XLOOKUP optional if_not_found plus explicit match_mode parity."
"W10XLL-010","W10-XLL","ready","","XLOOKUP(""a~*"",{""abc"",""a*""},{10,20},""nf"",2)","ox_XLOOKUP(""a~*"",{""abc"",""a*""},{10,20},""nf"",2)","equal","none","XLOOKUP wildcard escape parity."
"W10XLL-011","W10-XLL","ready","","XLOOKUP(2,{3,1,4,2},{30,10,40,20},,0,2)","ox_XLOOKUP(2,{3,1,4,2},{30,10,40,20},,0,2)","equal","none","XLOOKUP binary unsorted exact empirical parity."
"W10XLL-012","W10-XLL","ready","B1:=1|B2:=2|C1:=10|C2:=20","XLOOKUP(1,B1:B2,C1:C2)","ox_XLOOKUP(1,B1:B2,C1:C2)","equal","none","Reference-resolved lookup-array parity for XLOOKUP through the XLL bridge."
"W10XLL-013","W10-XLL","ready","B1:=empty|B2:=1|C1:=10|C2:=20","XLOOKUP(,B1:B2,C1:C2)","ox_XLOOKUP(,B1:B2,C1:C2)","equal","none","Blank-cell lookup parity against reference ranges through the XLL bridge."
"W10XLL-014","W10-XLL","ready","B1:=1|B2:=2|C1:=10|C2:=20","CELL(""address"",XLOOKUP(2,B1:B2,C1:C2))","CELL(""address"",ox_XLOOKUP(2,B1:B2,C1:C2))","equal","none","Reference-return address parity for XLOOKUP through the XLL bridge."
"W10XLL-015","W10-XLL","ready","B1:=1|B2:=2|C1:=10|C2:=20","SUM(XLOOKUP(1,B1:B2,C1:C2):XLOOKUP(2,B1:B2,C1:C2))","SUM(ox_XLOOKUP(1,B1:B2,C1:C2):ox_XLOOKUP(2,B1:B2,C1:C2))","equal","none","Reference-return range-composition parity for XLOOKUP through the XLL bridge."
