witness_id,class,rate_bits,rate_decimal,nper,model_em_bits,excel_compatible_em_bits,model_pmt_bits,excel_pmt_bits,ulp_delta,comparison_status
N1-0000,N1,3ee0000000000000,7.62939453125e-06,1,bedffff00007fffc,"bedffff00007fffc bedffff00007fffd",bff0000800000000,bff0000800000000,0,agree
N1-0051,N1,3eff97effe2eb468,3.0129915e-05,1,beff97b19c45199e,"beff97b19c45199d beff97b19c45199e",bff0001f97effe2f,bff0001f97effe2f,0,agree
N1-0100,N1,3f15b53da9ab7fbe,8.2809342e-05,1,bf15b4c7dd0f45bb,"bf15b4c7dd0f45bb bf15b4c7dd0f45bc",bff00056d4f6a6ad,bff00056d4f6a6ad,0,agree
ISO-Q-043,ISO-Q,3f30000000000000,0.000244140625,1,bf2ffe001ffe0020,"bf2ffe001ffe001f bf2ffe001ffe0020",bff0010000000000,bff0010000000000,0,agree
N1-0230,N1,3f53f489c96b2789,0.001217970426,1,bf53ee52e14b66f2,"bf53ee52e14b66f1 bf53ee52e14b66f2",bff004fd22725aca,bff004fd22725aca,0,agree
ISO-Q-028,ISO-Q,3f90000000000000,0.015625,1,bf8f81f81f81f81f,"bf8f81f81f81f81f bf8f81f81f81f820",bff0400000000000,bff0400000000000,0,agree
N1-0454,N1,3fb6630aba57d002,0.08744875955,1,bfb4962c0246f1f4,bfb4962c0246f1f4,bff16630aba57d00,bff16630aba57d00,0,agree
N1-0501,N1,3fcc100947f5fbf4,0.219239387643,1,bfc7043a533a2d32,bfc7043a533a2d32,bff3820128febf7e,bff3820128febf7e,0,agree
N1-0001,N1,3ee4f8b588e368f1,1e-05,1,bee4f8a7ca7c7dd7,bee4f8a7ca7c7dd8,bff0000a7c5ac472,bff0000a7c5ac471,1,diverge
N1-0035,N1,3ef661f39a30c007,2.1345733e-05,1,bef661d44aa6fce3,bef661d44aa6fce4,bff0001661f39a31,bff0001661f39a30,1,diverge
N1-0077,N1,3f0acc0e31b5fe31,5.1111396e-05,1,bf0acbb470318d66,"bf0acbb470318d64 bf0acbb470318d65",bff00035981c636c,bff00035981c636d,-1,diverge
N1-0120,N1,3f2069f98b0daa71,0.000125228607,1,bf206972d9d710a0,bf206972d9d710a1,bff000834fcc586d,bff000834fcc586c,1,diverge
N1-0142,N1,3f29fd48168b13a2,0.000198283243,1,bf29fbf66e58d73b,bf29fbf66e58d73a,bff000cfea40b458,bff000cfea40b459,-1,diverge
N1-0183,N1,3f3e688c9663a775,0.000463995288,1,bf3e64f05886954e,"bf3e64f05886954f bf3e64f058869550",bff001e688c9663b,bff001e688c9663a,1,diverge
N1-0259,N1,3f6151b161c9796d,0.002114149522,1,bf614856d4bfb8ae,bf614856d4bfb8ad,bff008a8d8b0e4bc,bff008a8d8b0e4bd,-1,diverge
N1-0284,N1,3f6cb6523aba736d,0.003504906277,1,bf6c9ca624e34e59,bf6c9ca624e34e58,bff00e5b291d5d3a,bff00e5b291d5d3b,-1,diverge
N1-0308,N1,3f76bb23c59d597b,0.005549564108,1,bf769b0636af38c9,bf769b0636af38c7,bff016bb23c59d5a,bff016bb23c59d5b,-1,diverge
N1-0338,N1,3f842fd05ec7f77e,0.009856822865,1,bf83fd5f76e558be,bf83fd5f76e558c0,bff0285fa0bd8ff0,bff0285fa0bd8fee,2,diverge
N1-0367,N1,3f911f4133def81b,0.01672078971,1,bf90d72b266a6acc,bf90d72b266a6acd,bff0447d04cf7be0,bff0447d04cf7bdf,1,diverge
N1-0407,N1,3fa1dbeb9a0f4062,0.034880983883,1,bfa141d28438635c,bfa141d28438635b,bff08edf5cd07a03,bff08edf5cd07a04,-1,diverge
N1-0440,N1,3fb0fdf2cacce832,0.066374945175,1,bfafde626dfb6122,"bfafde626dfb6120 bfafde626dfb6121",bff10fdf2cacce83,bff10fdf2cacce84,-1,diverge
N1-0480,N1,3fc2fcf9b274edd7,0.148345195901,1,bfc08906b98457cc,bfc08906b98457cd,bff25f9f364e9dbb,bff25f9f364e9dba,1,diverge
