"scenario_id","lane","status","setup_values","setup_formats","active_selection","formula","expected_status","expected_observable","notes"
"W15CELL-001","W15-CELL-HOST-PRE","ready","B2:=-1234.5","B2.NumberFormat:=0.00","","CELL(""filename"",B2)","observed","primary_text_contains:[cell-host-probe.xlsx]Sheet1","Saved workbook filename lane should include workbook and sheet identity."
"W15CELL-002","W15-CELL-HOST-PRE","ready","B2:=-1234.5","B2.NumberFormat:=0.00","","CELL(""format"",B2)","observed","primary_text_eq:F2","Pinned current-host format code for two-decimal fixed numeric format."
"W15CELL-003","W15-CELL-HOST-PRE","ready","B3:=-1234.5","B3.NumberFormat:=$#,##0_);[Red]($#,##0)","","CELL(""color"",B3)","observed","primary_value2_eq:1","Red-negative custom number format should report color flag 1."
"W15CELL-004","W15-CELL-HOST-PRE","ready","B4:=""abc""","B4.HorizontalAlignment:=-4131","","CELL(""prefix"",B4)","observed","primary_text_eq:'","Left-aligned text should report apostrophe prefix marker."
"W15CELL-005","W15-CELL-HOST-PRE","ready","B5:=1","B5.Locked:=TRUE","","CELL(""protect"",B5)","observed","primary_value2_eq:1","Locked cell should report protection flag 1."
"W15CELL-006","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","","CELL(""width"",B6)","observed","primary_value2_eq:20","Ordinary single-cell entry surfaces the first width item."
"W15CELL-006B","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","","INDEX(CELL(""width"",B6),2)","observed","primary_value2_eq:False","Second width item is the boolean flag in current baseline."
"W15CELL-006C","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","","COLUMNS(CELL(""width"",B6))","observed","primary_value2_eq:2","Width lane is intrinsically a two-column array artifact."
"W15CELL-007","W15-CELL-HOST-PRE","ready","B7:=12","B7.NumberFormat:=(0)","","CELL(""parentheses"",B7)","observed","primary_value2_eq:1","Positive custom format with parentheses should report 1."
"W15CELL-008","W15-CELL-HOST-PRE","ready","D7:=99","","D7","CELL(""row"")","observed","primary_value2_eq:7","Omitted reference form uses the active selected cell."
"W15CELL-009","W15-CELL-HOST-PRE","ready","D7:=99","","D7","CELL(""address"")","observed","primary_text_eq:$D$7","Omitted reference address lane follows the active selected cell."
"W15CELL-009B","W15-CELL-HOST-PRE","ready","D7:=99","","D7","CELL(""col"")","observed","primary_value2_eq:4","Omitted reference column lane follows the active selected cell."
"W15CELL-009C","W15-CELL-HOST-PRE","ready","D7:=99","","D7","CELL(""contents"")","observed","primary_value2_eq:99","Omitted reference contents lane uses the active selected cell value."
"W15CELL-009D","W15-CELL-HOST-PRE","ready","D7:=""abc""","","D7","CELL(""type"")","observed","primary_text_eq:l","Omitted reference type lane classifies the active selected cell."
"W15CELL-009E","W15-CELL-HOST-PRE","ready","D7:=99","","D7","CELL(""filename"")","observed","primary_text_contains:]Sheet1","Omitted reference filename lane should use the active selected cell workbook and sheet."
"W15CELL-009F","W15-CELL-HOST-PRE","ready","B2:=-1234.5","B2.NumberFormat:=0.00","B2","CELL(""format"")","observed","primary_text_eq:F2","Omitted reference format lane should use the active selected cell."
"W15CELL-009G","W15-CELL-HOST-PRE","ready","B3:=-1234.5","B3.NumberFormat:=$#,##0_);[Red]($#,##0)","B3","CELL(""color"")","observed","primary_value2_eq:1","Omitted reference color lane should use the active selected cell."
"W15CELL-009H","W15-CELL-HOST-PRE","ready","B4:=""abc""","B4.HorizontalAlignment:=-4131","B4","CELL(""prefix"")","observed","primary_text_eq:'","Omitted reference prefix lane should use the active selected cell."
"W15CELL-009I","W15-CELL-HOST-PRE","ready","B5:=1","B5.Locked:=TRUE","B5","CELL(""protect"")","observed","primary_value2_eq:1","Omitted reference protect lane should use the active selected cell."
"W15CELL-009J","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","B6","CELL(""width"")","observed","primary_value2_eq:20","Omitted reference width lane should use the active selected cell."
"W15CELL-009K","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","B6","INDEX(CELL(""width""),2)","observed","primary_value2_eq:False","Omitted reference width lane should expose the second boolean item."
"W15CELL-009L","W15-CELL-HOST-PRE","ready","B6:=1","B6.ColumnWidth:=20","B6","COLUMNS(CELL(""width""))","observed","primary_value2_eq:2","Omitted reference width lane should preserve the two-column array shape."
"W15CELL-009M","W15-CELL-HOST-PRE","ready","B7:=12","B7.NumberFormat:=(0)","B7","CELL(""parentheses"")","observed","primary_value2_eq:1","Omitted reference parentheses lane should use the active selected cell."
"W15CELL-010","W15-CELL-HOST-PRE","ready","Sheet2!B2:=-1234.5","Sheet2!B2.NumberFormat:=0.00","","CELL(""filename"",Sheet2!B2)","observed","primary_text_contains:]Sheet2","Cross-sheet filename lane should preserve target sheet identity."
"W15CELL-011","W15-CELL-HOST-PRE","ready","Sheet2!B2:=-1234.5","Sheet2!B2.NumberFormat:=0.00","","CELL(""format"",Sheet2!B2)","observed","primary_text_eq:F2","Cross-sheet format lane should read the target sheet cell."
