"scenario_id","lane","status","type_text","expected_status","expected_observable","notes"
"W15INFO-001","W15-INFO-PRE","ready","directory","observed","primary_text_nonempty","Current default workbook directory."
"W15INFO-002","W15-INFO-PRE","ready","numfile","observed","primary_value2_eq:1","Fresh workbook baseline should have one open workbook."
"W15INFO-003","W15-INFO-PRE","ready","origin","observed","primary_text_eq:$A:$A$1","Current host baseline origin string."
"W15INFO-004","W15-INFO-PRE","ready","osversion","observed","primary_text_eq:Windows (64-bit) NT 10.00","Current host OS description on this machine."
"W15INFO-005","W15-INFO-PRE","ready","recalc","observed","primary_text_eq:Automatic","Current Excel baseline uses automatic recalculation."
"W15INFO-006","W15-INFO-PRE","ready","release","observed","primary_text_eq:16.0","Current Excel release string."
"W15INFO-007","W15-INFO-PRE","ready","system","observed","primary_text_eq:pcdos","Current host system token."
"W15INFO-008","W15-INFO-PRE","ready","memavail","observed","primary_text_eq:#N/A","Current host returns #N/A for memory lane."
"W15INFO-009","W15-INFO-PRE","ready","memused","observed","primary_text_eq:#N/A","Current host returns #N/A for memory lane."
"W15INFO-010","W15-INFO-PRE","ready","totmem","observed","primary_text_eq:#N/A","Current host returns #N/A for memory lane."
