"scenario_id","lane","status","setup_values","setup_formats","active_selection","bridge_formula","native_formula","expected_relation","notes"
"W15XLL-001","W15-XLL","ready","","","","ox_INFO(""directory"")","INFO(""directory"")","equal","Directory lane should match native INFO."
"W15XLL-002","W15-XLL","ready","","","","ox_INFO(""numfile"")","INFO(""numfile"")","equal","Open-workbook count should match native INFO."
"W15XLL-003","W15-XLL","ready","","","","ox_INFO(""origin"")","INFO(""origin"")","equal","Origin lane should match native INFO."
"W15XLL-004","W15-XLL","ready","","","","ox_INFO(""osversion"")","INFO(""osversion"")","equal","OS description should match native INFO."
"W15XLL-005","W15-XLL","ready","","","","ox_INFO(""recalc"")","INFO(""recalc"")","equal","Recalc mode should match native INFO."
"W15XLL-006","W15-XLL","ready","","","","ox_INFO(""release"")","INFO(""release"")","equal","Release string should match native INFO."
"W15XLL-007","W15-XLL","ready","","","","ox_INFO(""system"")","INFO(""system"")","equal","System token should match native INFO."
"W15XLL-008","W15-XLL","ready","","","","ox_INFO(""memavail"")","INFO(""memavail"")","equal","Memory availability lane should preserve native #N/A outcome."
"W15XLL-009","W15-XLL","ready","","","","ox_INFO(""memused"")","INFO(""memused"")","equal","Memory used lane should preserve native #N/A outcome."
"W15XLL-010","W15-XLL","ready","","","","ox_INFO(""totmem"")","INFO(""totmem"")","equal","Total memory lane should preserve native #N/A outcome."
"W15XLL-011","W15-XLL","ready","B2:=-1234.5","B2.NumberFormat:=0.00","","ox_CELL(""filename"",B2)","CELL(""filename"",B2)","equal","Saved workbook filename lane should match native CELL."
"W15XLL-012","W15-XLL","ready","B2:=-1234.5","B2.NumberFormat:=0.00","","ox_CELL(""format"",B2)","CELL(""format"",B2)","equal","Format lane should match native CELL."
"W15XLL-013","W15-XLL","ready","B3:=-1234.5","B3.NumberFormat:=$#,##0_);[Red]($#,##0)","","ox_CELL(""color"",B3)","CELL(""color"",B3)","equal","Color lane should match native CELL."
"W15XLL-014","W15-XLL","ready","B4:=""abc""","B4.HorizontalAlignment:=-4131","","ox_CELL(""prefix"",B4)","CELL(""prefix"",B4)","equal","Prefix lane should match native CELL."
"W15XLL-015","W15-XLL","ready","B5:=1","B5.Locked:=TRUE","","ox_CELL(""protect"",B5)","CELL(""protect"",B5)","equal","Protect lane should match native CELL."
"W15XLL-016","W15-XLL","ready","B6:=1","B6.ColumnWidth:=20","","ox_CELL(""width"",B6)","CELL(""width"",B6)","equal","Current XLL bridge mirrors the ordinary single-cell width observation."
"W15XLL-016B","W15-XLL","ready","B6:=1","B6.ColumnWidth:=20","","INDEX(ox_CELL(""width"",B6),2)","INDEX(CELL(""width"",B6),2)","equal","Bridge width lane should expose the second boolean item through INDEX."
"W15XLL-016C","W15-XLL","ready","B6:=1","B6.ColumnWidth:=20","","COLUMNS(ox_CELL(""width"",B6))","COLUMNS(CELL(""width"",B6))","equal","Bridge width lane should preserve the two-column array shape."
"W15XLL-017","W15-XLL","ready","B7:=12","B7.NumberFormat:=(0)","","ox_CELL(""parentheses"",B7)","CELL(""parentheses"",B7)","equal","Parentheses lane should match native CELL."
"W15XLL-018","W15-XLL","ready","D7:=99","","D7","ox_CELL(""row"")","CELL(""row"")","equal","Omitted reference row lane should follow the active selected cell."
"W15XLL-019","W15-XLL","ready","D7:=99","","D7","ox_CELL(""address"")","CELL(""address"")","equal","Omitted reference address lane should follow the active selected cell."
"W15XLL-019B","W15-XLL","ready","D7:=99","","D7","ox_CELL(""col"")","CELL(""col"")","equal","Omitted reference column lane should follow the active selected cell."
"W15XLL-019C","W15-XLL","ready","D7:=99","","D7","ox_CELL(""contents"")","CELL(""contents"")","equal","Omitted reference contents lane should follow the active selected cell."
"W15XLL-019D","W15-XLL","ready","D7:=""abc""","","D7","ox_CELL(""type"")","CELL(""type"")","equal","Omitted reference type lane should classify the active selected cell."
"W15XLL-019E","W15-XLL","ready","D7:=99","","D7","ox_CELL(""filename"")","CELL(""filename"")","equal","Omitted reference filename lane should use the active selected cell workbook and sheet."
"W15XLL-019F","W15-XLL","ready","B2:=-1234.5","B2.NumberFormat:=0.00","B2","ox_CELL(""format"")","CELL(""format"")","equal","Omitted reference format lane should use the active selected cell."
"W15XLL-019G","W15-XLL","ready","B3:=-1234.5","B3.NumberFormat:=$#,##0_);[Red]($#,##0)","B3","ox_CELL(""color"")","CELL(""color"")","equal","Omitted reference color lane should use the active selected cell."
"W15XLL-019H","W15-XLL","ready","B4:=""abc""","B4.HorizontalAlignment:=-4131","B4","ox_CELL(""prefix"")","CELL(""prefix"")","equal","Omitted reference prefix lane should use the active selected cell."
"W15XLL-019I","W15-XLL","ready","B5:=1","B5.Locked:=TRUE","B5","ox_CELL(""protect"")","CELL(""protect"")","equal","Omitted reference protect lane should use the active selected cell."
"W15XLL-019J","W15-XLL","ready","B6:=1","B6.ColumnWidth:=20","B6","ox_CELL(""width"")","CELL(""width"")","equal","Omitted reference width lane should use the active selected cell."
