"function_name","category","version_marker","tier","tier_label","description"
"ACCRINT","Financial functions","","1","regular_pure_or_low_risk","Returns the accrued interest for a security that pays periodic interest"
"ACCRINTM","Financial functions","","1","regular_pure_or_low_risk","Returns the accrued interest for a security that pays interest at maturity"
"ACOS","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the arccosine of a number"
"ACOSH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the inverse hyperbolic cosine of a number"
"ACOT","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the arccotangent of a number"
"ACOTH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the hyperbolic arccotangent of a number"
"AGGREGATE","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns an aggregate in a list or database"
"AMORDEGRC","Financial functions","","1","regular_pure_or_low_risk","Returns the depreciation for each accounting period by using a depreciation coefficient"
"AMORLINC","Financial functions","","1","regular_pure_or_low_risk","Returns the depreciation for each accounting period"
"ARABIC","Math and trigonometry functions","","1","regular_pure_or_low_risk","Converts a Roman number to Arabic, as a number"
"ARRAYTOTEXT","Text functions","","2","baseline_context","Returns an array of text values from any specified range"
"ASC","Text functions","","2","baseline_context","Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters"
"ASINH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the inverse hyperbolic sine of a number"
"ATAN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the arctangent of a number"
"ATAN2","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the arctangent from x- and y-coordinates"
"ATANH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the inverse hyperbolic tangent of a number"
"AVEDEV","Statistical functions","","1","regular_pure_or_low_risk","Returns the average of the absolute deviations of data points from their mean"
"AVERAGEA","Statistical functions","","1","regular_pure_or_low_risk","Returns the average of its arguments, including numbers, text, and logical values"
"AVERAGEIF","Statistical functions","","1","regular_pure_or_low_risk","Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria"
"AVERAGEIFS","Statistical functions","","1","regular_pure_or_low_risk","Returns the average (arithmetic mean) of all cells that meet multiple criteria"
"BAHTTEXT","Text functions","","2","baseline_context","Converts a number to text, using the ß (baht) currency format"
"BASE","Math and trigonometry functions","","1","regular_pure_or_low_risk","Converts a number into a text representation with the given radix (base)"
"BESSELI","Engineering functions","","1","regular_pure_or_low_risk","Returns the modified Bessel function In(x)"
"BESSELJ","Engineering functions","","1","regular_pure_or_low_risk","Returns the Bessel function Jn(x)"
"BESSELK","Engineering functions","","1","regular_pure_or_low_risk","Returns the modified Bessel function Kn(x)"
"BESSELY","Engineering functions","","1","regular_pure_or_low_risk","Returns the Bessel function Yn(x)"
"BETA.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the beta cumulative distribution function"
"BETA.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the cumulative distribution function for a specified beta distribution"
"BETADIST","Compatibility","","2","baseline_context","Returns the beta cumulative distribution function"
"BETAINV","Compatibility","","2","baseline_context","Returns the inverse of the cumulative distribution function for a specified beta distribution"
"BIN2DEC","Engineering functions","","1","regular_pure_or_low_risk","Converts a binary number to decimal"
"BIN2HEX","Engineering functions","","1","regular_pure_or_low_risk","Converts a binary number to hexadecimal"
"BIN2OCT","Engineering functions","","1","regular_pure_or_low_risk","Converts a binary number to octal"
"BINOM.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the individual term binomial distribution probability"
"BINOM.DIST.RANGE","Statistical functions","","1","regular_pure_or_low_risk","Returns the probability of a trial result using a binomial distribution"
"BINOM.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value"
"BINOMDIST","Compatibility","","2","baseline_context","Returns the individual term binomial distribution probability"
"BITAND","Engineering functions","","1","regular_pure_or_low_risk","Returns a 'Bitwise And' of two numbers"
"BITLSHIFT","Engineering functions","","1","regular_pure_or_low_risk","Returns a value number shifted left by shift_amount bits"
"BITOR","Engineering functions","","1","regular_pure_or_low_risk","Returns a bitwise OR of 2 numbers"
"BITRSHIFT","Engineering functions","","1","regular_pure_or_low_risk","Returns a value number shifted right by shift_amount bits"
"BITXOR","Engineering functions","","1","regular_pure_or_low_risk","Returns a bitwise 'Exclusive Or' of two numbers"
"CALL","User defined functions that are installed with add-ins","","2","baseline_context","Calls a procedure in a dynamic link library or code resource"
"CEILING","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number to the nearest integer or to the nearest multiple of significance"
"CEILING.MATH","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number up, to the nearest integer or to the nearest multiple of significance"
"CEILING.PRECISE","Math and trigonometry functions","","1","regular_pure_or_low_risk","Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up."
"CHAR","Text functions","","2","baseline_context","Returns the character specified by the code number"
"CHIDIST","Compatibility","","2","baseline_context","Returns the one-tailed probability of the chi-squared distribution"
"CHIINV","Compatibility","","2","baseline_context","Returns the inverse of the one-tailed probability of the chi-squared distribution"
"CHISQ.DIST","Statistical functions","","1","regular_pure_or_low_risk","Returns the cumulative beta probability density function"
"CHISQ.DIST.RT","Statistical functions","","1","regular_pure_or_low_risk","Returns the one-tailed probability of the chi-squared distribution"
"CHISQ.INV","Statistical functions","","1","regular_pure_or_low_risk","Returns the cumulative beta probability density function"
"CHISQ.INV.RT","Statistical functions","","1","regular_pure_or_low_risk","Returns the inverse of the one-tailed probability of the chi-squared distribution"
"CHISQ.TEST","Statistical functions","","1","regular_pure_or_low_risk","Returns the test for independence"
"CHITEST","Compatibility","","2","baseline_context","Returns the test for independence"
"CHOOSE","Lookup and reference functions","","2","baseline_context","Chooses a value from a list of values"
"CODE","Text functions","","2","baseline_context","Returns a numeric code for the first character in a text string"
"COMBIN","Math and trigonometry functions","","1","regular_pure_or_low_risk","Returns the number of combinations for a given number of objects"
