scenario_id,lane,formula,expected_text,notes
W24TD-001,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""One,Two,Three"", "","", 1)","Two,Three","Positive instance picks the first delimiter."
W24TD-002,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""One,Two,Three"", "","", -1)","Three","Negative instance picks the last delimiter."
W24TD-003,W24-BATCH03-TEXT-DELIM,"TEXTBEFORE(""One,Two,Three"", "","", 1)","One","Positive instance returns the text before the first delimiter."
W24TD-004,W24-BATCH03-TEXT-DELIM,"TEXTBEFORE(""One,Two,Three"", "","", -1)","One,Two","Negative instance returns the text before the last delimiter."
W24TD-005,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""Socrates"", "" "", 1, 0, 1, ""fallback"")","","Synthetic end delimiter yields empty after-segment."
W24TD-006,W24-BATCH03-TEXT-DELIM,"TEXTBEFORE(""Socrates"", "" "", 1, 0, 1, ""fallback"")","Socrates","Synthetic end delimiter yields the whole input before-segment."
W24TD-007,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""abc"", ""/"", 1, 0, 0, 7)","7","Explicit if_not_found fallback is returned."
W24TD-008,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""ABcdEF"", ""CD"", 1, 1, 0, ""fallback"")","EF","Current baseline uses ASCII-only case-insensitive matching for mode 1."
W24TD-009,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""abc"", """", 1)","abc","Empty delimiter polarity for TEXTAFTER positive instance."
W24TD-010,W24-BATCH03-TEXT-DELIM,"TEXTBEFORE(""abc"", """", -1)","abc","Empty delimiter polarity for TEXTBEFORE negative instance."
W24TD-011,W24-BATCH03-TEXT-DELIM,"TEXTBEFORE(""abc"", ""b"", 0)","#VALUE!","Zero instance number is invalid."
W24TD-012,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""abc"", ""b"", 1, 2, 0, ""fallback"")","#VALUE!","Invalid numeric match_mode is rejected."
W24TD-013,W24-BATCH03-TEXT-DELIM,"TEXTAFTER(""abc"", ""b"", 1, 0, 2, ""fallback"")","#VALUE!","Invalid numeric match_end flag is rejected."
