scenario_id,lane,formula,expected_text,expected_value2,tolerance,notes
W24SD-001,W24-BATCH06-SPECIAL-DIST,"ERF(1)",,0.842700792949715,0.000000000001,"Primary ERF lane."
W24SD-002,W24-BATCH06-SPECIAL-DIST,"ERF(0,1)",,0.842700792949715,0.000000000001,"Interval ERF lane."
W24SD-003,W24-BATCH06-SPECIAL-DIST,"ERF(1,2)",,0.152621472069238,0.000000000001,"Upper-lower interval lane."
W24SD-004,W24-BATCH06-SPECIAL-DIST,"ERF.PRECISE(-1)",,-0.842700792949715,0.000000000001,"Negative precise ERF lane."
W24SD-005,W24-BATCH06-SPECIAL-DIST,"ERFC(1)",,0.157299207050285,0.000000000001,"Primary ERFC lane."
W24SD-006,W24-BATCH06-SPECIAL-DIST,"ERFC.PRECISE(-1)",,1.84270079294971,0.000000000001,"Negative precise ERFC lane."
W24SD-007,W24-BATCH06-SPECIAL-DIST,"GAMMA(5)",,24,0,"Positive integer gamma."
W24SD-008,W24-BATCH06-SPECIAL-DIST,"GAMMA(0.5)",,1.77245385090552,0.000000000001,"Half-integer gamma."
W24SD-009,W24-BATCH06-SPECIAL-DIST,"GAMMA(-0.5)",,-3.54490770181103,0.000000000001,"Negative non-integer gamma."
W24SD-010,W24-BATCH06-SPECIAL-DIST,"GAMMA(-1)",#NUM!,,,"Pole yields #NUM!."
W24SD-011,W24-BATCH06-SPECIAL-DIST,"GAMMALN(5)",,3.17805383034795,0.000000000001,"Primary gammaln lane."
W24SD-012,W24-BATCH06-SPECIAL-DIST,"GAMMALN.PRECISE(0.5)",,0.5723649429247,0.000000000001,"Precise gammaln parity lane."
W24SD-013,W24-BATCH06-SPECIAL-DIST,"GAMMALN.PRECISE(0)",#NUM!,,,"Zero input yields #NUM!."
W24SD-014,W24-BATCH06-SPECIAL-DIST,"WEIBULL(2,3,4,TRUE)",,0.117503097415405,0.000000000001,"Legacy WEIBULL cumulative lane."
W24SD-015,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(2,3,4,FALSE)",,0.165468169234612,0.000000000001,"WEIBULL.DIST density lane."
W24SD-016,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(0,3,4,TRUE)",,0,0,"Zero x cumulative lane."
W24SD-017,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(0,3,4,FALSE)",,0,0,"Zero x density lane for alpha > 1."
W24SD-018,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(0,0.5,4,FALSE)",,0,0,"Zero x density lane for alpha < 1."
W24SD-019,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(0,1,4,FALSE)",,0,0,"Zero x density lane for alpha = 1."
W24SD-020,W24-BATCH06-SPECIAL-DIST,"WEIBULL.DIST(-1,3,4,TRUE)",#NUM!,,,"Negative x yields #NUM!."
