scenario_id,lane,formula,expected_text,expected_value2,tolerance,notes
pv_sample,PV,"PV(0.08/12,10,-1037.0320893591607,0)",,9999.99999999999,1E-8,Annuity inversion sample
fv_sample,FV,"FV(0.08/12,10,-1037.0320893591607,10000)",,0,1E-8,Future value closes the annuity identity
pmt_sample,PMT,"PMT(0.08/12,10,10000)",,-1037.03208935915,1E-9,Payment sample
nper_sample,NPER,"NPER(0.08/12,-1037.0320893591607,10000)",,10,1E-9,Recovered periods sample
rate_sample,RATE,"RATE(48,PMT(0.01,48,8000),8000)",,0.00999999999999997,1E-9,Rate inversion sample
npv_sample,NPV,"NPV(0.1,-10000,3000,4200,6800)",,1188.44341233522,1E-9,Microsoft sample
ipmt_sample,IPMT,"IPMT(0.10/12,1,36,8000)",,-66.6666666666667,1E-9,First-period interest sample
ppmt_sample,PPMT,"PPMT(0.10/12,1,36,8000)",,-191.470830884033,1E-9,First-period principal sample
ispmt_period1,ISPMT,"ISPMT(0.1,1,4,1000)",,-75,1E-9,Observed current-baseline period-1 result
ispmt_period0,ISPMT,"ISPMT(0.1,0,4,1000)",,-100,1E-9,Observed pre-schedule period zero result
mirr_sample,MIRR,"MIRR({-120000;39000;30000;21000;37000;46000},0.10,0.12)",,0.126094130365905,1E-9,Compounded cashflow sample
fvschedule_sample,FVSCHEDULE,"FVSCHEDULE(1,{0.09;0.11;0.10})",,1.33089,1E-12,Schedule sample
pduration_sample,PDURATION,"PDURATION(0.025,2000,2200)",,3.85986616262266,1E-9,Duration sample
rri_sample,RRI,"RRI(96,10000,11000)",,0.00099330737629133,1E-12,Rate of return sample
nominal_sample,NOMINAL,"NOMINAL(0.053543,4)",,0.052500319868356,1E-12,Nominal-rate sample
effect_sample,EFFECT,"EFFECT(0.052500319868356016,4)",,0.0535430000000001,1E-9,Effective-rate sample
