"function_name","entered_formula","stored_formula","displayed_text","value2"
"BETA.INV","=BETA.INV(0.5,2,3)","=BETA.INV(0.5,2,3)","0.385728","0.38572756813239"
"BETA.INVn","=BETA.INVn(0.5,2,3)","=BETA.INVn(0.5,2,3)","#NAME?","-2146826259"
"BETAINV","=BETAINV(0.5,2,3,0,1)","=BETAINV(0.5,2,3,0,1)","0.385728","0.38572756813239"
"IMAGINARY","=IMAGINARY(""3+4i"")","=IMAGINARY(""3+4i"")","4","4"
"ISBLANK","=ISBLANK(A20)","=ISBLANK(A20)","TRUE","True"
"ISERR","=ISERR(1/0)","=ISERR(1/0)","TRUE","True"
"ISERROR","=ISERROR(1/0)","=ISERROR(1/0)","TRUE","True"
"ISLOGICAL","=ISLOGICAL(TRUE)","=ISLOGICAL(TRUE)","TRUE","True"
"ISNA","=ISNA(NA())","=ISNA(NA())","TRUE","True"
"ISNONTEXT","=ISNONTEXT(1)","=ISNONTEXT(1)","TRUE","True"
"ISNUMBER","=ISNUMBER(1)","=ISNUMBER(1)","TRUE","True"
"ISODD","=ISODD(3)","=ISODD(3)","TRUE","True"
"ISREF","=ISREF(A1)","=ISREF(A1)","TRUE","True"
"ISTEXT","=ISTEXT(""x"")","=ISTEXT(""x"")","TRUE","True"
"FORECAST","=FORECAST(3,{1,2},{2,4})","=FORECAST(3,{1,2},{2,4})","1.5","1.5"
"FORECAST.LINEAR","=FORECAST.LINEAR(3,{1,2},{2,4})","=FORECAST.LINEAR(3,{1,2},{2,4})","1.5","1.5"
