"reconciliation_class","function_name"
"foundation_only","BETA.INV"
"foundation_only","IMAGINARY"
"foundation_only","RANDARRA"
"in_both","ABS"
"in_both","ACCRINT"
"in_both","ACCRINTM"
"in_both","ACOS"
"in_both","ACOSH"
"in_both","ACOT"
"in_both","ACOTH"
"in_both","ADDRESS"
"in_both","AGGREGATE"
"in_both","AMORDEGRC"
"in_both","AMORLINC"
"in_both","AND"
"in_both","ARABIC"
"in_both","AREAS"
"in_both","ARRAYTOTEXT"
"in_both","ASC"
"in_both","ASIN"
"in_both","ASINH"
"in_both","ATAN"
"in_both","ATAN2"
"in_both","ATANH"
"in_both","AVEDEV"
"in_both","AVERAGE"
"in_both","AVERAGEA"
"in_both","AVERAGEIF"
"in_both","AVERAGEIFS"
"in_both","BAHTTEXT"
"in_both","BASE"
"in_both","BESSELI"
"in_both","BESSELJ"
"in_both","BESSELK"
"in_both","BESSELY"
"in_both","BETA.DIST"
"in_both","BETADIST"
"in_both","BETAINV"
"in_both","BIN2DEC"
"in_both","BIN2HEX"
"in_both","BIN2OCT"
"in_both","BINOM.DIST"
"in_both","BINOM.DIST.RANGE"
"in_both","BINOM.INV"
"in_both","BINOMDIST"
"in_both","BITAND"
"in_both","BITLSHIFT"
"in_both","BITOR"
"in_both","BITRSHIFT"
"in_both","BITXOR"
"in_both","BYCOL"
"in_both","BYROW"
"in_both","CALL"
"in_both","CEILING"
"in_both","CEILING.MATH"
"in_both","CEILING.PRECISE"
"in_both","CELL"
"in_both","CHAR"
"in_both","CHIDIST"
"in_both","CHIINV"
"in_both","CHISQ.DIST"
"in_both","CHISQ.DIST.RT"
"in_both","CHISQ.INV"
"in_both","CHISQ.INV.RT"
"in_both","CHISQ.TEST"
"in_both","CHITEST"
"in_both","CHOOSE"
"in_both","CHOOSECOLS"
"in_both","CHOOSEROWS"
"in_both","CLEAN"
"in_both","CODE"
"in_both","COLUMN"
"in_both","COLUMNS"
"in_both","COMBIN"
"in_both","COMBINA"
"in_both","COMPLEX"
"in_both","CONCAT"
"in_both","CONCATENATE"
"in_both","CONFIDENCE"
"in_both","CONFIDENCE.NORM"
"in_both","CONFIDENCE.T"
"in_both","CONVERT"
"in_both","COPILOT"
"in_both","CORREL"
"in_both","COS"
"in_both","COSH"
"in_both","COT"
"in_both","COTH"
"in_both","COUNT"
"in_both","COUNTA"
"in_both","COUNTBLANK"
"in_both","COUNTIF"
"in_both","COUNTIFS"
"in_both","COUPDAYBS"
"in_both","COUPDAYS"
"in_both","COUPDAYSNC"
"in_both","COUPNCD"
"in_both","COUPNUM"
"in_both","COUPPCD"
"in_both","COVAR"
"in_both","COVARIANCE.P"
"in_both","COVARIANCE.S"
"in_both","CRITBINOM"
"in_both","CSC"
"in_both","CSCH"
"in_both","CUBEKPIMEMBER"
"in_both","CUBEMEMBER"
"in_both","CUBEMEMBERPROPERTY"
"in_both","CUBERANKEDMEMBER"
"in_both","CUBESET"
"in_both","CUBESETCOUNT"
"in_both","CUBEVALUE"
"in_both","CUMIPMT"
"in_both","CUMPRINC"
"in_both","DATE"
