"locale_tag","article_guid","localized_url","discovery_source","status_note"
"ar-SA","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/ar-sa/office/%D8%AF%D8%A7%D9%84%D8%A7%D8%AA-excel-%D8%A8%D8%A7%D9%84%D8%AA%D8%B1%D8%AA%D9%8A%D8%A8-%D8%A7%D9%84%D8%A3%D8%A8%D8%AC%D8%AF%D9%8A-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"bg-BG","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/bg-bg/office/%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D0%B8-%D0%BD%D0%B0-excel-%D0%BF%D0%BE-%D0%B0%D0%B7%D0%B1%D1%83%D1%87%D0%B5%D0%BD-%D1%80%D0%B5%D0%B4-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"cs-CZ","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/cs-cz/office/funkce-aplikace-excel-podle-abecedy-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"da-DK","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/da-dk/office/excel-funktioner-alfabetisk-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"de-DE","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/de-de/office/excel-funktionen-alphabetisch-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"el-GR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/el-gr/office/%CF%83%CF%85%CE%BD%CE%B1%CF%81%CF%84%CE%AE%CF%83%CE%B5%CE%B9%CF%82-%CF%84%CE%BF%CF%85-excel-%CE%B1%CE%BB%CF%86%CE%B1%CE%B2%CE%B7%CF%84%CE%B9%CE%BA%CE%AC-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"en-AU","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/en-au/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"en-GB","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/en-gb/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"en-US","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/en-us/office/excel-functions-alphabetical-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"es-ES","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/es-es/office/funciones-de-excel-por-orden-alfab%C3%A9tico-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"et-EE","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/et-ee/office/exceli-funktsioonid-t%C3%A4hestikuliselt-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"fi-FI","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/fi-fi/office/excelin-funktiot-aakkosj%C3%A4rjestyksess%C3%A4-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"fr-FR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/fr-fr/office/fonctions-excel-par-ordre-alphab%C3%A9tique-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"he-IL","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/he-il/office/%D7%A4%D7%95%D7%A0%D7%A7%D7%A6%D7%99%D7%95%D7%AA-%D7%A9%D7%9C-excel-%D7%91%D7%A1%D7%93%D7%A8-%D7%90%D7%9C%D7%A4%D7%91%D7%99%D7%AA%D7%99-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
"hr-HR","b3944572-255d-4efb-bb96-c6d90033e188","https://support.microsoft.com/hr-hr/office/funkcije-programa-excel-abecednim-redoslijedom-b3944572-255d-4efb-bb96-c6d90033e188","support_hreflang_harvest","harvested"
