scenario_id,lane,anchor_cell,formula,expected_status,expected_text,expected_value2,tolerance,inspect_range,expected_spill_text,notes
byrow_sum_scalar,BYROW,A1,"BYROW({1,2;3,4},LAMBDA(r,SUM(r)))",set_ok,,3,1E-12,A1:A2,"3|7",One scalar result per row
bycol_sum_scalar,BYCOL,A4,"BYCOL({1,2;3,4},LAMBDA(c,SUM(c)))",set_ok,,4,1E-12,A4:B4,"4|6",One scalar result per column
byrow_nonscalar_calc,BYROW,A7,"BYROW({1,2;3,4},LAMBDA(r,r+1))",set_ok,#CALC!,,,,,Non-scalar row result yields #CALC!
bycol_nonscalar_calc,BYCOL,A10,"BYCOL({1,2;3,4},LAMBDA(c,c+1))",set_ok,#CALC!,,,,,Non-scalar column result yields #CALC!
byrow_lambda_arity_high,BYROW,A13,"BYROW({1,2;3,4},LAMBDA(r,c,SUM(r)+c))",set_ok,#VALUE!,,,,,Runtime lambda arity mismatch
bycol_lambda_malformed_high,BYCOL,A16,"BYCOL({1,2;3,4},LAMBDA(c,SUM(c),99))",set_err,,,,,,Malformed lambda declaration is rejected on admission
makearray_basic,MAKEARRAY,A19,"MAKEARRAY(2,3,LAMBDA(r,c,r*10+c))",set_ok,,11,1E-12,A19:C20,"11|12|13|21|22|23",Generated coordinates are 1-based
makearray_lambda_arity_low,MAKEARRAY,A23,"MAKEARRAY(2,3,LAMBDA(r,r))",set_ok,#VALUE!,,,,,Runtime lambda arity mismatch
makearray_isomitted_present,MAKEARRAY,A26,"SUM(--MAKEARRAY(2,3,LAMBDA(r,c,NOT(OR(ISOMITTED(r),ISOMITTED(c))))))",set_ok,,6,1E-12,,,Generated coordinate args are present not omitted
defined_name_direct_call,DEFINED_NAME_LAMBDA,E1,"MyAdder(4)",set_ok,,5,1E-12,,,Workbook Defined Name callable direct invocation
defined_name_helper_call,DEFINED_NAME_LAMBDA,E4,"SUM(MAP({1,2},MyAdder))",set_ok,,5,1E-12,,,Defined Name callable flows into MAP
defined_name_captured_direct,DEFINED_NAME_LAMBDA,E7,"CapAdd(3)",set_ok,,5,1E-12,,,Defined Name callable preserves lexical capture
defined_name_captured_helper,DEFINED_NAME_LAMBDA,E10,"MAP({1,2},CapAdd)",set_ok,,3,1E-12,E10:F10,"3|4",Captured Defined Name callable flows into MAP
defined_name_bare_calc,DEFINED_NAME_LAMBDA,E13,"MyAdder",set_ok,#CALC!,,,,,Bare Defined Name callable publishes as #CALC!
defined_name_captured_bare_calc,DEFINED_NAME_LAMBDA,E16,"CapAdd",set_ok,#CALC!,,,,,Bare captured Defined Name callable publishes as #CALC!
