csv_field,runtime_object,runtime_field,mapping_rule
snapshot_id,LibraryContextSnapshot,snapshot_family_id,carry directly
snapshot_generation,LibraryContextSnapshot,snapshot_generation,carry directly
source_commit_short,LibraryContextSnapshot,source_commit_short,carry directly
source_commit_full,LibraryContextSnapshot,source_commit_full,carry directly
source_tree_state,LibraryContextSnapshot,source_tree_state,carry directly
lane_id,LibraryContextSnapshot,omitted_from_runtime,CSV provenance only
entry_kind,LibraryContextEntry,entry_kind,carry directly
registration_source_kind,LibraryContextEntry,registration_source_kind,carry directly
surface_stable_id,LibraryContextEntry,surface_stable_id,carry directly and index in entries_by_stable_id
xlcall_builtin_symbol,LibraryContextEntry,xlcall_builtin_symbol,carry when present and index by xlcall code where applicable
xlcall_builtin_code,LibraryContextEntry,xlcall_builtin_code,carry when present and index in entries_by_xlcall_code
canonical_surface_name,LibraryContextEntry,canonical_surface_name,carry directly and index in entries_by_canonical_name
name_resolution_table_ref,LibraryContextSnapshot,name_resolution_source,share at snapshot level when uniform or carry per entry when needed
semantic_trait_profile_ref,LibraryContextEntry,semantic_trait_profile_ref,carry directly
gating_profile_ref,LibraryContextEntry,gating_profile_ref,carry directly
version_marker,LibraryContextEntry,version_marker,carry directly
category,LibraryContextEntry,category,carry directly
interesting,LibraryContextEntry,interesting,carry directly
arity_min,LibraryContextEntry,arity.min,group into runtime arity record
arity_max,LibraryContextEntry,arity.max,group into runtime arity record
arg_preparation_profile,LibraryContextEntry,arg_preparation_profile,carry directly
coercion_lift_profile,LibraryContextEntry,coercion_lift_profile,carry directly
kernel_signature_class,LibraryContextEntry,kernel_signature_class,carry directly
determinism_class,LibraryContextEntry,determinism_class,carry directly
volatility_class,LibraryContextEntry,volatility_class,carry directly
host_interaction_class,LibraryContextEntry,host_interaction_class,carry directly
thread_safety_class,LibraryContextEntry,thread_safety_class,carry directly
fec_dependency_profile,LibraryContextEntry,fec_dependency_profile,carry directly
surface_fec_dependency_profile,LibraryContextEntry,surface_fec_dependency_profile,carry directly
metadata_status,LibraryContextEntry,metadata_status,carry directly
special_interface_kind,LibraryContextEntry,special_interface_kind,carry directly
admission_interface_kind,LibraryContextEntry,admission_interface_kind,carry directly
preparation_owner,LibraryContextEntry,preparation_owner,carry directly
runtime_boundary_kind,LibraryContextEntry,runtime_boundary_kind,carry directly
arity_shape_note,LibraryContextEntry,arity_shape_note,carry directly
interface_contract_ref,LibraryContextEntry,interface_contract_ref,carry directly
source_catalog_ref,LibraryContextEntry,source_catalog_ref,carry directly
