"entry_name","entry_kind","execution_owner","provenance_owner","notes"
"BETA.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BETA.INV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BETADIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BETAINV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BINOM.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BINOM.DIST.RANGE","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BINOM.INV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"BINOMDIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CEILING.MATH","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CEILING.PRECISE","function","W067","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHIDIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHIINV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHISQ.DIST","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHISQ.DIST.RT","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHISQ.INV","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CHISQ.INV.RT","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CODE","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CONCATENATE","function","W066","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CONFIDENCE","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CONFIDENCE.NORM","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"COVAR","function","W062","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CRITBINOM","function","W061","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CUMIPMT","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"CUMPRINC","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DAVERAGE","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DAY","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DAYS","function","W063","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DB","function","W064","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DCOUNT","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
"DCOUNTA","function","W065","W16/W17/W24 lineage","Current residual hidden snapshot-entry backlog after W060 closure."
