entry_name,entry_kind,execution_owner,provenance_owner,notes
"BESSELI","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BESSELJ","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BESSELK","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BESSELY","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BETA.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BETA.INV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BETADIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BETAINV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BIN2DEC","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BIN2HEX","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BIN2OCT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BINOM.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BINOM.DIST.RANGE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BINOM.INV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"BINOMDIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CEILING.MATH","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CEILING.PRECISE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHIDIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHIINV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHISQ.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHISQ.DIST.RT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHISQ.INV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CHISQ.INV.RT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CODE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"COMPLEX","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CONCATENATE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CONFIDENCE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CONFIDENCE.NORM","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"COVAR","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CRITBINOM","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CUMIPMT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"CUMPRINC","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DAVERAGE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DAY","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DAYS","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DB","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DCOUNT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DCOUNTA","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DDB","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DEC2BIN","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DEC2HEX","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DEC2OCT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DGET","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DISC","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DMAX","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DMIN","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DOLLARFR","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DPRODUCT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DSTDEV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DSTDEVP","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DSUM","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DVAR","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"DVARP","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"EDATE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"EOMONTH","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"EXPON.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"EXPONDIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"F.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"F.DIST.RT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"F.INV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"F.INV.RT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FDIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FIND, FINDB","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FINV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FLOOR","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FLOOR.MATH","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"FLOOR.PRECISE","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"GAMMA.DIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"GAMMA.INV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"GAMMADIST","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"GAMMAINV","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"HEX2BIN","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"HEX2DEC","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"HEX2OCT","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"HLOOKUP","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
"HOUR","function","W051","W16/W17/W24 lineage","First-pass hidden non-deferred catalog_only row; no later complete packet found in this pass."
