scenario_id,lane,formula,expected_text,notes
W56-GB-001,groupby_default_sum,"ARRAYTOTEXT(GROUPBY({""2024"";""2024"";""2025"";""2025""},{10;20;30;40},SUM),1)","{""2024"",30;""2025"",70;""Total"",100}","Default GROUPBY with bare built-in SUM carriage."
W56-GB-002,groupby_default_lambda,"ARRAYTOTEXT(GROUPBY({""2024"";""2024"";""2025"";""2025""},{10;20;30;40},LAMBDA(x,SUM(x))),1)","{""2024"",30;""2025"",70;""Total"",100}","Default GROUPBY with inline helper lambda carriage."
W56-GB-003,groupby_hierarchical_subtotal,"ARRAYTOTEXT(GROUPBY({""East"",""A"";""East"",""B"";""East"",""A"";""West"",""A"";""West"",""B""},{10;20;30;40;50},SUM,,2),1)","{""East"",""A"",40;""East"",""B"",20;""East"","""",60;""West"",""A"",40;""West"",""B"",50;""West"","""",90;""Grand Total"","""",150}","Hierarchical subtotal lane on the admitted current-baseline slice."
W56-GB-004,groupby_visible_headers,"ARRAYTOTEXT(GROUPBY({""Region"",""Product"";""East"",""A"";""East"",""B""},{""Sales"";10;20},SUM,3),1)","{""Region"",""Product"",""Sales"";""East"",""A"",10;""East"",""B"",20;""Total"","""",30}","Visible header-row output."
W56-GB-005,groupby_filter_sort,"ARRAYTOTEXT(GROUPBY({""A"";""B"";""A"";""B""},{10;20;40;50},SUM,,,-2,{TRUE;FALSE;TRUE;FALSE}),1)","{""A"",50;""Total"",50}","Filter-sensitive and descending aggregate sort lane."
W56-GB-006,groupby_tabular_reject,"ARRAYTOTEXT(GROUPBY({""East"",""A"";""East"",""B""},{10;20},SUM,,2,,,1),1)","#VALUE!","Tabular-subtotal rejection remains worksheet-visible #VALUE!."
W56-PB-001,pivotby_default_sum,"ARRAYTOTEXT(PIVOTBY({""East"";""East"";""West"";""West""},{""A"";""B"";""A"";""B""},{10;20;40;50},SUM),1)","{"""",""A"",""B"",""Total"";""East"",10,20,30;""West"",40,50,90;""Total"",50,70,120}","Default PIVOTBY with bare built-in SUM carriage."
W56-PB-002,pivotby_default_lambda,"ARRAYTOTEXT(PIVOTBY({""East"";""East"";""West"";""West""},{""A"";""B"";""A"";""B""},{10;20;40;50},LAMBDA(x,SUM(x))),1)","{"""",""A"",""B"",""Total"";""East"",10,20,30;""West"",40,50,90;""Total"",50,70,120}","Default PIVOTBY with inline helper lambda carriage."
W56-PB-003,pivotby_visible_headers,"ARRAYTOTEXT(PIVOTBY({""Region"";""East"";""West""},{""Product"";""A"";""B""},{""Sales"";40;50},SUM,3),1)","{"""",""Product"","""","""";"""",""A"",""B"",""Total"";""Region"",""Sales"",""Sales"",""Sales"";""East"",40,"""",40;""West"","""",50,50;""Total"",40,50,90}","Visible header-band output on the admitted slice."
W56-PB-004,pivotby_filter_zero_totals,"ARRAYTOTEXT(PIVOTBY({""East"";""East"";""West"";""West""},{""A"";""B"";""A"";""B""},{10;20;40;50},SUM,,0,,0,,{TRUE;FALSE;TRUE;FALSE}),1)","{"""",""A"";""East"",10;""West"",40}","Filter-sensitive zero-totals lane."
W56-PB-005,pivotby_row_col_sort,"ARRAYTOTEXT(PIVOTBY({""East"";""East"";""West"";""West""},{""A"";""B"";""A"";""B""},{10;20;40;50},SUM,,,-2,,-2),1)","{"""",""B"",""A"",""Total"";""West"",50,40,90;""East"",20,10,30;""Total"",70,50,120}","Row- and column-total sort lane."
