"grouped_snapshot_entry_name","normalized_member_name","execution_owner","notes"
"FIND, FINDB","FIND","W066","W058 split grouped first-pass row into machine-clean function member."
"FIND, FINDB","FINDB","W066","W058 split grouped first-pass row into machine-clean function member."
"LEFT, LEFTB","LEFT","W066","W058 split grouped first-pass row into machine-clean function member."
"LEFT, LEFTB","LEFTB","W066","W058 split grouped first-pass row into machine-clean function member."
"LEN, LENB","LEN","W066","W058 split grouped first-pass row into machine-clean function member."
"LEN, LENB","LENB","W066","W058 split grouped first-pass row into machine-clean function member."
"MID, MIDB","MID","W066","W058 split grouped first-pass row into machine-clean function member."
"MID, MIDB","MIDB","W066","W058 split grouped first-pass row into machine-clean function member."
"REPLACE, REPLACEB","REPLACE","W066","W058 split grouped first-pass row into machine-clean function member."
"REPLACE, REPLACEB","REPLACEB","W066","W058 split grouped first-pass row into machine-clean function member."
"RIGHT, RIGHTB","RIGHT","W066","W058 split grouped first-pass row into machine-clean function member."
"RIGHT, RIGHTB","RIGHTB","W066","W058 split grouped first-pass row into machine-clean function member."
"SEARCH, SEARCHB","SEARCH","W066","W058 split grouped first-pass row into machine-clean function member."
"SEARCH, SEARCHB","SEARCHB","W066","W058 split grouped first-pass row into machine-clean function member."
