"entry_name","entry_kind","execution_owner","provenance_owner","source_snapshot_entry_name","normalization_status","notes"
"BESSELI","function","W059","W16/W17/W24 lineage","BESSELI","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BESSELJ","function","W059","W16/W17/W24 lineage","BESSELJ","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BESSELK","function","W059","W16/W17/W24 lineage","BESSELK","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BESSELY","function","W059","W16/W17/W24 lineage","BESSELY","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BETA.DIST","function","W061","W16/W17/W24 lineage","BETA.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BETA.INV","function","W061","W16/W17/W24 lineage","BETA.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BETADIST","function","W061","W16/W17/W24 lineage","BETADIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BETAINV","function","W061","W16/W17/W24 lineage","BETAINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BIN2DEC","function","W059","W16/W17/W24 lineage","BIN2DEC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BIN2HEX","function","W059","W16/W17/W24 lineage","BIN2HEX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BIN2OCT","function","W059","W16/W17/W24 lineage","BIN2OCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BINOM.DIST","function","W061","W16/W17/W24 lineage","BINOM.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BINOM.DIST.RANGE","function","W061","W16/W17/W24 lineage","BINOM.DIST.RANGE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BINOM.INV","function","W061","W16/W17/W24 lineage","BINOM.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"BINOMDIST","function","W061","W16/W17/W24 lineage","BINOMDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CEILING.MATH","function","W067","W16/W17/W24 lineage","CEILING.MATH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CEILING.PRECISE","function","W067","W16/W17/W24 lineage","CEILING.PRECISE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHIDIST","function","W061","W16/W17/W24 lineage","CHIDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHIINV","function","W061","W16/W17/W24 lineage","CHIINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHISQ.DIST","function","W061","W16/W17/W24 lineage","CHISQ.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHISQ.DIST.RT","function","W061","W16/W17/W24 lineage","CHISQ.DIST.RT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHISQ.INV","function","W061","W16/W17/W24 lineage","CHISQ.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CHISQ.INV.RT","function","W061","W16/W17/W24 lineage","CHISQ.INV.RT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CODE","function","W066","W16/W17/W24 lineage","CODE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"COMPLEX","function","W060","W16/W17/W24 lineage","COMPLEX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CONCATENATE","function","W066","W16/W17/W24 lineage","CONCATENATE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CONFIDENCE","function","W061","W16/W17/W24 lineage","CONFIDENCE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CONFIDENCE.NORM","function","W061","W16/W17/W24 lineage","CONFIDENCE.NORM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"COVAR","function","W062","W16/W17/W24 lineage","COVAR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CRITBINOM","function","W061","W16/W17/W24 lineage","CRITBINOM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CUMIPMT","function","W064","W16/W17/W24 lineage","CUMIPMT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"CUMPRINC","function","W064","W16/W17/W24 lineage","CUMPRINC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DAVERAGE","function","W065","W16/W17/W24 lineage","DAVERAGE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DAY","function","W063","W16/W17/W24 lineage","DAY","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DAYS","function","W063","W16/W17/W24 lineage","DAYS","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DB","function","W064","W16/W17/W24 lineage","DB","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DCOUNT","function","W065","W16/W17/W24 lineage","DCOUNT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DCOUNTA","function","W065","W16/W17/W24 lineage","DCOUNTA","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DDB","function","W064","W16/W17/W24 lineage","DDB","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DEC2BIN","function","W059","W16/W17/W24 lineage","DEC2BIN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DEC2HEX","function","W059","W16/W17/W24 lineage","DEC2HEX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DEC2OCT","function","W059","W16/W17/W24 lineage","DEC2OCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DGET","function","W065","W16/W17/W24 lineage","DGET","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DISC","function","W064","W16/W17/W24 lineage","DISC","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DMAX","function","W065","W16/W17/W24 lineage","DMAX","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DMIN","function","W065","W16/W17/W24 lineage","DMIN","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DOLLARFR","function","W064","W16/W17/W24 lineage","DOLLARFR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DPRODUCT","function","W065","W16/W17/W24 lineage","DPRODUCT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DSTDEV","function","W065","W16/W17/W24 lineage","DSTDEV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DSTDEVP","function","W065","W16/W17/W24 lineage","DSTDEVP","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DSUM","function","W065","W16/W17/W24 lineage","DSUM","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DVAR","function","W065","W16/W17/W24 lineage","DVAR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"DVARP","function","W065","W16/W17/W24 lineage","DVARP","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"EDATE","function","W063","W16/W17/W24 lineage","EDATE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"EOMONTH","function","W063","W16/W17/W24 lineage","EOMONTH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"EXPON.DIST","function","W061","W16/W17/W24 lineage","EXPON.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"EXPONDIST","function","W061","W16/W17/W24 lineage","EXPONDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"F.DIST","function","W061","W16/W17/W24 lineage","F.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"F.DIST.RT","function","W061","W16/W17/W24 lineage","F.DIST.RT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"F.INV","function","W061","W16/W17/W24 lineage","F.INV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"F.INV.RT","function","W061","W16/W17/W24 lineage","F.INV.RT","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"FDIST","function","W061","W16/W17/W24 lineage","FDIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"FIND","function","W066","W16/W17/W24 lineage","FIND, FINDB","split_member","Normalized from grouped first-pass backlog entry in W058."
"FINDB","function","W066","W16/W17/W24 lineage","FIND, FINDB","split_member","Normalized from grouped first-pass backlog entry in W058."
"FINV","function","W061","W16/W17/W24 lineage","FINV","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"FLOOR","function","W067","W16/W17/W24 lineage","FLOOR","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"FLOOR.MATH","function","W067","W16/W17/W24 lineage","FLOOR.MATH","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"FLOOR.PRECISE","function","W067","W16/W17/W24 lineage","FLOOR.PRECISE","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
"GAMMA.DIST","function","W061","W16/W17/W24 lineage","GAMMA.DIST","identity","Carried forward unchanged from first-pass hidden backlog entry in W058."
