entry_name,outcome,owner_workset,notes
BESSELI,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BESSELJ,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BESSELK,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BESSELY,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BIN2DEC,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BIN2HEX,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
BIN2OCT,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
DEC2BIN,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
DEC2HEX,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
DEC2OCT,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
HEX2BIN,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
HEX2DEC,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
HEX2OCT,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
OCT2BIN,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
OCT2DEC,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
OCT2HEX,done,W059,"Promoted out of the normalized ordinary backlog after W059 closure."
