"entry_name","outcome","owner_workset","notes"
"BETA.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BETA.INV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BETADIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BETAINV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BINOM.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BINOM.DIST.RANGE","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BINOM.INV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"BINOMDIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHIDIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHIINV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHISQ.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHISQ.DIST.RT","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHISQ.INV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CHISQ.INV.RT","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CONFIDENCE","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CONFIDENCE.NORM","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"CRITBINOM","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"EXPON.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"EXPONDIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"F.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"F.DIST.RT","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"F.INV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"F.INV.RT","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"FDIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"FINV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"GAMMA.DIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"GAMMA.INV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"GAMMADIST","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
"GAMMAINV","done","W061","Promoted out of the normalized ordinary backlog after W061 closure."
