"sequence","surface_stable_id","canonical_surface_name","metadata_status","special_interface_kind","admission_interface_kind","category","dependency_gate","seam_note"
"1","FUNC.LAMBDA","LAMBDA","function_meta_curated","callable_helper_formation","helper_formation","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"2","FUNC.BYCOL","BYCOL","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"3","FUNC.BYROW","BYROW","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"4","FUNC.ISOMITTED","ISOMITTED","function_meta_curated","callable_helper_runtime","callable_runtime_helper","Information functions","W049","remaining_supported_surface_without_v2_witness"
"5","FUNC.MAKEARRAY","MAKEARRAY","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"6","FUNC.MAP","MAP","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"7","FUNC.REDUCE","REDUCE","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"8","FUNC.SCAN","SCAN","function_meta_curated","callable_helper_runtime","higher_order_call","Logical functions","W049","remaining_supported_surface_without_v2_witness"
"9","FUNC.RTD","RTD","function_meta_extracted","host_subscription_provider","host_subscription_call","Lookup and reference functions","W043","remaining_supported_surface_without_v2_witness"
"10","FUNC.NUMBERVALUE","NUMBERVALUE","function_meta_curated","locale_default_profiled_parse","ordinary_call","Text functions","W049","remaining_supported_surface_without_v2_witness"
"11","FUNC.NOW","NOW","function_meta_extracted","presentation_hinting_function","ordinary_call","Date and time functions","W049","remaining_supported_surface_without_v2_witness"
"12","FUNC.TODAY","TODAY","function_meta_extracted","presentation_hinting_function","ordinary_call","Date and time functions","W049","remaining_supported_surface_without_v2_witness"
"13","FUNC.CALL","CALL","function_meta_extracted","registered_external_invocation","macro_or_host_registered_call","User defined functions that are installed with add-ins","W041","remaining_supported_surface_without_v2_witness"
"14","FUNC.REGISTER.ID","REGISTER.ID","function_meta_extracted","registered_external_registration","registered_external_lookup","User defined functions that are installed with add-ins","W041","remaining_supported_surface_without_v2_witness"
"15","FUNC.ASC","ASC","function_meta_curated","width_conversion_host_profile","ordinary_call","Text functions","W049","remaining_supported_surface_without_v2_witness"
"16","FUNC.DBCS","DBCS","function_meta_curated","width_conversion_host_profile","ordinary_call","Text functions","W049","remaining_supported_surface_without_v2_witness"
"17","FUNC.JIS","JIS","function_meta_curated","width_conversion_host_profile","ordinary_call","Compatibility","W049","remaining_supported_surface_without_v2_witness"
