"source_header_ref","xlcall_category","xlcall_symbol","xlcall_numeric_code","xlcall_flag_kind","xlcall_code_expression","oxfunc_surface_stable_id","oxfunc_canonical_surface_name","oxfunc_match_status","note"
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlFree","0","xlSpecial","(0  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlStack","1","xlSpecial","(1  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlCoerce","2","xlSpecial","(2  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlSet","3","xlSpecial","(3  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlSheetId","4","xlSpecial","(4  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlSheetNm","5","xlSpecial","(5  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlAbort","6","xlSpecial","(6  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetInst","7","xlSpecial","(7  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetHwnd","8","xlSpecial","(8  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlGetName","9","xlSpecial","(9  | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlEnableXLMsgs","10","xlSpecial","(10 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
".tmp/excelxllsdk_extracted/2013 Office System Developer Resources/Excel2013XLLSDK/INCLUDE/XLCALL.H","auxiliary_function","xlDisableXLMsgs","11","xlSpecial","(11 | xlSpecial)","","","auxiliary_c_api_only","Excel C API auxiliary callback/special function; not a worksheet function catalog row in OxFunc."
