"surface","file","matches","final_owner","deletion_batch","deletion_route","notes"
"EvalValue","crates/oxfunc_core/examples/w29_finance_probe.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/examples/w37_xirr_large_root_probe.rs","6","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/examples/w87_xirr_adjacent_probe.rs","6","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/coercion.rs","18","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/function_call.rs","16","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/abs.rs","32","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/acos.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/acosh.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/acot.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/acoth.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/adapters.rs","83","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/aggregate_common.rs","42","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/amor_depreciation_family.rs","14","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/and_fn.rs","22","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/arabic_fn.rs","3","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/array_text_split_family.rs","38","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/asin.rs","11","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/asinh.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/atan.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/atan2.rs","11","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/atanh.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/avedev_fn.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/average.rs","20","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/averagea_fn.rs","14","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/base_fn.rs","8","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bessel_convert_family.rs","7","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/beta_gamma_stats_family.rs","21","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/binary_numeric.rs","27","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bitand_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bitlshift_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bitor_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bitrshift_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bitxor_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/bond_core_family.rs","16","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/call_register_id_family.rs","17","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/callable_helpers.rs","109","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/callable_stage1_prepared.rs","30","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cashflow_rate_family.rs","41","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/ceiling_floor_family.rs","25","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cell.rs","27","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/chi_f_t_family.rs","37","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/choose_ifs_family.rs","49","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/clean_fn.rs","7","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/column_fn.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/columns_fn.rs","34","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/combin.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/combina.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/complex_family.rs","59","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/concat_family.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/confidence_test_family.rs","19","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/correl_fn.rs","4","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cos.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cosh.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cot.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/coth.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/count.rs","20","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/counta.rs","17","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/countblank_fn.rs","26","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/coupon_family.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/covariance_p_fn.rs","4","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/covariance_s_fn.rs","4","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/criteria_family.rs","94","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/csc.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/csch.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/cumulative_finance_family.rs","5","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/database_family.rs","78","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/date_fn.rs","40","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/date_parts_family.rs","40","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/date_value_family.rs","26","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/date_week_family.rs","11","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/decimal_fn.rs","5","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/degrees.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/delta_fn.rs","7","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/depreciation_family.rs","28","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/devsq_fn.rs","12","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/discount_bill_yearfrac_family.rs","11","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/discrete_dist_family.rs","48","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/dollar_fn.rs","27","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/dollar_fraction_family.rs","29","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/dynamic_array_reshape_family.rs","105","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/engineering_radix_family.rs","21","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/error_type_fn.rs","18","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/even_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/exact_fn.rs","22","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/exp_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/fact.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/factdouble.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/false_fn.rs","3","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/financial_time_value_family.rs","30","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/fisher_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/fisherinv_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/fixed_fn.rs","32","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/gauss_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/gcd_fn.rs","7","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/geomean_fn.rs","6","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/gestep_fn.rs","3","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/group_pivot_common.rs","18","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/groupby_fn.rs","28","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/harmean_fn.rs","6","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/hstack.rs","21","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/hyperlink_fn.rs","8","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/if_fn.rs","40","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/iferror.rs","18","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/ifna_fn.rs","16","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/image_fn.rs","17","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/index.rs","89","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/indirect.rs","18","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/info_fn.rs","8","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/int_fn.rs","2","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
"EvalValue","crates/oxfunc_core/src/functions/intercept_fn.rs","4","CalcValue/CoreValue","W099-008,W099-012,W099-015","Dispatch and kernel inputs/returns migrate to CalcValue/CoreValue; final type deletion in W099-015.","Native semantic value carrier residue."
